sweep_id,dataset,model,model_hidden_layers,loss,id,validation_accuracy,parameter_1_name,parameter_1_value,parameter_2_name,parameter_2_value
8cxd66f8,water,bmlp,"[150, 1000, 150, 30]",scfe_regularization,1,0.6916030645370483,loss_alpha,-0.703783906863342,estimator_reg_coef_value,0.956063340334268
8cxd66f8,water,bmlp,"[150, 1000, 150, 30]",scfe_regularization,2,0.6900763511657715,loss_alpha,-0.48761863211804857,estimator_reg_coef_value,1.2322145053729308
8cxd66f8,water,bmlp,"[150, 1000, 150, 30]",scfe_regularization,3,0.6900763511657715,loss_alpha,-0.8321240201635872,estimator_reg_coef_value,1.8832497162496304
8cxd66f8,water,bmlp,"[150, 1000, 150, 30]",scfe_regularization,4,0.6854962110519409,loss_alpha,-0.672569027798573,estimator_reg_coef_value,1.5259337972639702
8cxd66f8,water,bmlp,"[150, 1000, 150, 30]",scfe_regularization,5,0.6854962110519409,loss_alpha,-0.6084484012242191,estimator_reg_coef_value,0.8441681718232699
8cxd66f8,water,bmlp,"[150, 1000, 150, 30]",scfe_regularization,6,0.6854962110519409,loss_alpha,-0.5531130597852822,estimator_reg_coef_value,1.8372289369496864
8cxd66f8,water,bmlp,"[150, 1000, 150, 30]",scfe_regularization,7,0.6854962110519409,loss_alpha,-0.4323514651909745,estimator_reg_coef_value,1.8249986860793888
8cxd66f8,water,bmlp,"[150, 1000, 150, 30]",scfe_regularization,8,0.6824427247047424,loss_alpha,-0.20235155329357069,estimator_reg_coef_value,0.1471764883668227
8cxd66f8,water,bmlp,"[150, 1000, 150, 30]",scfe_regularization,9,0.6809160113334656,loss_alpha,-0.3821159613328282,estimator_reg_coef_value,0.3024755164106264
8cxd66f8,water,bmlp,"[150, 1000, 150, 30]",scfe_regularization,10,0.6809160113334656,loss_alpha,-0.9456230065395744,estimator_reg_coef_value,2.1337817874914977
8cxd66f8,water,bmlp,"[150, 1000, 150, 30]",scfe_regularization,11,0.6809160113334656,loss_alpha,-0.8115419609524263,estimator_reg_coef_value,2.153520410051293
